Price	Open	High	Low	Close	Volume
Ticker	NVDA	NVDA	NVDA	NVDA	NVDA
Date					
2024-02-07	68.29963033929545	70.20009234122578	67.58083242173012	70.0791244506836	495575000
2024-02-08	70.05412985913416	70.77392694243356	69.43530969256643	69.62125396728516	414422000
2024-02-09	70.5130113509279	72.16454367786442	70.19210316169159	72.11256408691406	436637000
2024-02-12	72.57942141236886	74.58985301987923	71.2298055691369	72.22752380371094	613710000
2024-02-13	70.38005204606957	73.42918318120587	69.60027429759032	72.10755920410156	602580000
2024-02-14	73.18126615558889	74.21496981774756	71.91762429392091	73.87906646728516	504917000
2024-02-15	73.8480605966985	73.95402572408746	72.37947530532118	72.63739776611328	420122000
2024-02-16	74.07899283769257	74.38090918024592	72.4804470935105	72.59241485595703	495327000
2024-02-20	71.92659973225437	71.93559986530343	67.71479679116719	69.43231201171875	704833000
2024-02-21	67.98672612499482	68.86847997939597	66.22922867549799	67.452880859375	690298000
2024-02-22	75.00374204443924	78.55273152131424	74.19896984840972	78.5157470703125	865100000
2024-02-23	80.76710284696621	82.37064450794962	77.5480142615878	78.79466247558594	829388000
2024-02-26	79.67740947783957	80.62314814859076	78.48274845329479	79.06958770751953	503973000
2024-02-27	79.35849560363468	79.45747419233632	77.1401304524677	78.6786880493164	391705000
2024-02-28	77.59800412996552	78.91062791882912	77.10314167422683	77.6409912109375	393110000
2024-02-29	79.07158408060953	79.96732622132019	78.32779165828474	79.0895767211914	507289000
2024-03-01	79.97732295310118	82.27667403889559	79.41248066903071	82.25567626953125	479135000
2024-03-04	84.1061487649486	87.67014062841129	83.69526978721244	85.21283721923828	615616000
2024-03-05	85.24982845264307	86.07663632751537	83.3972699001233	85.94366455078125	520639000
2024-03-06	88.00118270950952	89.70277597405403	87.00941296076404	88.67901611328125	582520000
2024-03-07	90.13667181489903	92.74505586042167	89.58080357117521	92.64707946777344	608119000
2024-03-08	95.11550233441162	97.37696845591753	86.48553983918421	87.5073013305664	1142269000
2024-03-11	86.40855169186541	88.77598763810909	84.14608663109752	85.75370788574219	678364000
2024-03-12	88.02818123787033	91.93825182530047	86.12962825022079	91.89126586914062	668075000
2024-03-13	91.03346116743805	91.48235245425685	88.41407818473327	90.86650085449219	635713000
2024-03-14	89.55581179224637	90.62455913756881	86.57951107256054	87.9231948852539	602318000
2024-03-15	86.90943998318495	89.5248185728374	86.23660263652593	87.81622314453125	642086000
